# step,acceptance,delta_H
451, 0.681416, -0.947201
452, 0.682119, 0.91176
453, 0.680617, 0.246701
454, 0.681319, -0.478856
455, 0.682018, -0.294067
456, 0.680525, 0.166043
457, 0.681223, -0.883985
458, 0.679739, 1.63458
459, 0.678261, 0.966699
460, 0.678959, -1.07905
461, 0.679654, -0.0118518
462, 0.680346, 0.605577
463, 0.681034, -0.164845
464, 0.67957, 0.590913
465, 0.680258, 0.826728
466, 0.678801, 1.02634
467, 0.67735, 0.245133
468, 0.678038, 0.406638
469, 0.676596, 0.568179
470, 0.677282, 0.342868
471, 0.675847, 1.26193
472, 0.676533, -0.599508
473, 0.677215, -0.721362
474, 0.677895, 0.708146
475, 0.678571, 0.430658
476, 0.679245, 0.410329
477, 0.679916, -0.13392
478, 0.680585, 1.26028
479, 0.679167, 1.69709
480, 0.679834, -1.35552
481, 0.680498, 0.461391
482, 0.681159, -0.713399
483, 0.681818, -0.81636
484, 0.682474, 0.881432
485, 0.683128, -0.250031
486, 0.681725, 0.91681
487, 0.682377, 0.112746
488, 0.683027, -0.025683
489, 0.683673, 0.00968678
490, 0.682281, 0.448611
491, 0.682927, 0.703419
492, 0.68357, -0.0279654
493, 0.684211, 0.457067
494, 0.684848, -0.165138
495, 0.683468, 2.23061
496, 0.682093, 0.896992
497, 0.682731, -0.423671
498, 0.683367, 0.115076
499, 0.684, 0.106522
500, 0.684631, 0.616981
501, 0.685259, 0.18267
502, 0.685885, 0.172355
503, 0.684524, 1.7362
504, 0.683168, 0.133277
505, 0.683794, 0.0897712
506, 0.684418, -0.456587
507, 0.683071, 1.82467
508, 0.681729, 0.56523
509, 0.682353, 0.149733
510, 0.682975, 0.688081
511, 0.683594, 0.0485274
512, 0.684211, 0.659084
513, 0.684825, 0.0395071
514, 0.685437, -0.595849
515, 0.686047, 0.539677
516, 0.686654, 0.4031
517, 0.687259, -0.734601
518, 0.687861, 0.756439
519, 0.688462, 0.160108
520, 0.68906, 0.390101
521, 0.689655, 0.13783
522, 0.690249, -0.68866
523, 0.69084, 0.559128
524, 0.691429, -0.118688
525, 0.692015, 0.49431
526, 0.6926, -2.20581
527, 0.691288, 0.825117
528, 0.689981, 0.964939
529, 0.690566, -0.539354
530, 0.689266, 1.66131
531, 0.68985, 0.560926
532, 0.690432, -0.633904
533, 0.689139, 1.63115
534, 0.68972, -0.281413
535, 0.690299, 0.391473
536, 0.690875, -0.208688
537, 0.69145, 0.153955
538, 0.692022, -0.600675
539, 0.692593, 0.70622
540, 0.691312, 0.387739
541, 0.690037, 0.472036
542, 0.688766, 0.762136
543, 0.689338, -0.516943
544, 0.689908, 0.621892
545, 0.690476, 0.363754
546, 0.691042, 0.194357
547, 0.691606, 0.785771
548, 0.690346, 1.04565
549, 0.690909, 0.722491
550, 0.689655, 0.900729
551, 0.690217, 0.376829
552, 0.688969, 0.7037
553, 0.687726, 1.24615
554, 0.688288, -1.54021
